step,S,I,R
0,0.9992,0.0008,0
1,0.9984,0.0016,0
2,0.9976,0.0024,0
3,0.9956,0.004,0.0004
4,0.9936,0.006,0.0004
5,0.99,0.0088,0.0012
6,0.9856,0.0132,0.0012
7,0.9804,0.0172,0.0024
8,0.9756,0.0204,0.004
9,0.97,0.024,0.006
10,0.964,0.0284,0.0076
11,0.9544,0.0364,0.0092
12,0.9472,0.04,0.0128
13,0.9352,0.0504,0.0144
14,0.9228,0.0596,0.0176
15,0.9128,0.0676,0.0196
16,0.9016,0.074,0.0244
17,0.8872,0.0868,0.026
18,0.8768,0.092,0.0312
19,0.8616,0.0992,0.0392
20,0.846,0.1064,0.0476
21,0.832,0.114,0.054
22,0.8184,0.1204,0.0612
23,0.8016,0.128,0.0704
24,0.7888,0.1372,0.074
25,0.7664,0.154,0.0796
26,0.7476,0.166,0.0864
27,0.7308,0.1752,0.094
28,0.71,0.1888,0.1012
29,0.6876,0.2044,0.108
30,0.6676,0.2144,0.118
31,0.6456,0.2268,0.1276
32,0.624,0.2408,0.1352
33,0.6,0.254,0.146
34,0.5796,0.2632,0.1572
35,0.5572,0.2712,0.1716
36,0.5368,0.2764,0.1868
37,0.5124,0.29,0.1976
38,0.4932,0.2972,0.2096
39,0.4716,0.3056,0.2228
40,0.4476,0.314,0.2384
41,0.4268,0.3184,0.2548
42,0.4048,0.322,0.2732
43,0.3848,0.3268,0.2884
44,0.3656,0.3316,0.3028
45,0.3484,0.3292,0.3224
46,0.3276,0.3356,0.3368
47,0.308,0.3356,0.3564
48,0.2924,0.3308,0.3768
49,0.2768,0.332,0.3912
50,0.2612,0.328,0.4108
51,0.2448,0.3232,0.432
52,0.2296,0.3188,0.4516
53,0.216,0.3116,0.4724
54,0.204,0.3088,0.4872
55,0.1924,0.3012,0.5064
56,0.1816,0.3004,0.518
57,0.1708,0.298,0.5312
58,0.1592,0.298,0.5428
59,0.1464,0.2928,0.5608
60,0.136,0.2912,0.5728
61,0.126,0.286,0.588
62,0.1176,0.2848,0.5976
63,0.1084,0.2804,0.6112
64,0.0988,0.2724,0.6288
65,0.0884,0.2696,0.642
66,0.0808,0.2616,0.6576
67,0.074,0.2548,0.6712
68,0.0684,0.2484,0.6832
69,0.0644,0.24,0.6956
70,0.0596,0.2272,0.7132
71,0.0564,0.2212,0.7224
72,0.0524,0.212,0.7356
73,0.0468,0.2044,0.7488
74,0.0428,0.1952,0.762
75,0.0368,0.1924,0.7708
76,0.0328,0.1872,0.78
77,0.0292,0.1824,0.7884
78,0.0252,0.1744,0.8004
79,0.0216,0.1716,0.8068
80,0.0192,0.1652,0.8156
81,0.0168,0.1624,0.8208
82,0.0144,0.156,0.8296
83,0.0128,0.1444,0.8428
84,0.01,0.14,0.85
85,0.0076,0.1364,0.856
86,0.0056,0.1344,0.86
87,0.0044,0.1272,0.8684
88,0.0036,0.1236,0.8728
89,0.0028,0.1188,0.8784
90,0.002,0.1132,0.8848
91,0.0012,0.1088,0.89
92,0.0012,0.0992,0.8996
93,0.0004,0.0952,0.9044
94,0.0004,0.0908,0.9088
95,0,0.0868,0.9132
96,0,0.0832,0.9168
97,0,0.0788,0.9212
98,0,0.0772,0.9228
99,0,0.0724,0.9276
100,0,0.066,0.934
101,0,0.0632,0.9368
102,0,0.0604,0.9396
103,0,0.0576,0.9424
104,0,0.0536,0.9464
105,0,0.05,0.95
106,0,0.048,0.952
107,0,0.0472,0.9528
108,0,0.0448,0.9552
109,0,0.0416,0.9584
110,0,0.0396,0.9604
111,0,0.0388,0.9612
112,0,0.0368,0.9632
113,0,0.0356,0.9644
114,0,0.0324,0.9676
115,0,0.0312,0.9688
116,0,0.0284,0.9716
117,0,0.028,0.972
118,0,0.0268,0.9732
119,0,0.026,0.974
120,0,0.0244,0.9756
121,0,0.0216,0.9784
122,0,0.0212,0.9788
123,0,0.0196,0.9804
124,0,0.0192,0.9808
125,0,0.0172,0.9828
126,0,0.0156,0.9844
127,0,0.0156,0.9844
128,0,0.014,0.986
129,0,0.0132,0.9868
130,0,0.0132,0.9868
131,0,0.0132,0.9868
132,0,0.0124,0.9876
133,0,0.0124,0.9876
134,0,0.0116,0.9884
135,0,0.0112,0.9888
136,0,0.0112,0.9888
137,0,0.0108,0.9892
138,0,0.0104,0.9896
139,0,0.01,0.99
140,0,0.01,0.99
141,0,0.0088,0.9912
142,0,0.0076,0.9924
143,0,0.0068,0.9932
144,0,0.0068,0.9932
145,0,0.0064,0.9936
146,0,0.0064,0.9936
147,0,0.006,0.994
148,0,0.006,0.994
149,0,0.0052,0.9948
150,0,0.0048,0.9952
151,0,0.0048,0.9952
152,0,0.0048,0.9952
153,0,0.0044,0.9956
154,0,0.0044,0.9956
155,0,0.0044,0.9956
156,0,0.0036,0.9964
157,0,0.0032,0.9968
158,0,0.0032,0.9968
159,0,0.0032,0.9968
160,0,0.0032,0.9968
161,0,0.0032,0.9968
162,0,0.0032,0.9968
163,0,0.0032,0.9968
164,0,0.0032,0.9968
165,0,0.0032,0.9968
166,0,0.0024,0.9976
167,0,0.0024,0.9976
168,0,0.0024,0.9976
169,0,0.0024,0.9976
170,0,0.0024,0.9976
171,0,0.002,0.998
172,0,0.002,0.998
173,0,0.002,0.998
174,0,0.002,0.998
175,0,0.0016,0.9984
176,0,0.0016,0.9984
177,0,0.0016,0.9984
178,0,0.0012,0.9988
179,0,0.0012,0.9988
180,0,0.0012,0.9988
181,0,0.0012,0.9988
182,0,0.0012,0.9988
183,0,0.0008,0.9992
184,0,0.0008,0.9992
185,0,0.0008,0.9992
186,0,0.0008,0.9992
187,0,0.0008,0.9992
188,0,0.0008,0.9992
189,0,0.0008,0.9992
190,0,0.0008,0.9992
191,0,0.0008,0.9992
192,0,0.0008,0.9992
193,0,0.0008,0.9992
194,0,0.0008,0.9992
195,0,0.0008,0.9992
196,0,0.0008,0.9992
197,0,0.0008,0.9992
198,0,0.0008,0.9992
199,0,0.0008,0.9992
200,0,0.0008,0.9992
201,0,0.0008,0.9992
202,0,0.0008,0.9992
203,0,0.0008,0.9992
204,0,0.0008,0.9992
205,0,0.0008,0.9992
206,0,0.0008,0.9992
207,0,0.0008,0.9992
208,0,0.0008,0.9992
209,0,0.0008,0.9992
210,0,0.0008,0.9992
211,0,0.0008,0.9992
212,0,0.0004,0.9996
213,0,0.0004,0.9996
214,0,0.0004,0.9996
215,0,0.0004,0.9996
216,0,0.0004,0.9996
217,0,0.0004,0.9996
218,0,0.0004,0.9996
219,0,0.0004,0.9996
220,0,0.0004,0.9996
221,0,0.0004,0.9996
222,0,0.0004,0.9996
223,0,0.0004,0.9996
224,0,0.0004,0.9996
225,0,0.0004,0.9996
226,0,0.0004,0.9996
227,0,0.0004,0.9996
228,0,0.0004,0.9996
229,0,0.0004,0.9996
230,0,0.0004,0.9996
231,0,0.0004,0.9996
232,0,0.0004,0.9996
233,0,0.0004,0.9996
234,0,0.0004,0.9996
235,0,0.0004,0.9996
236,0,0.0004,0.9996
237,0,0,1
